Age,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot
22,1,8.0,1,1,1
21,0,7.0,1,1,1
22,1,6.0,0,0,1
21,0,8.0,0,1,1
22,0,8.0,1,0,1
22,0,6.0,0,0,0
21,0,7.0,0,1,0
21,1,7.0,0,0,0
21,2,6.0,0,0,1
21,1,6.0,1,0,0
22,1,7.0,0,0,0
22,1,8.0,0,1,1
21,2,6.0,1,1,0
21,1,8.0,0,1,1
21,2,8.0,0,0,1
22,0,8.0,1,0,1
22,1,7.0,1,0,0
21,0,6.0,0,0,0
21,1,7.0,0,0,0
22,1,7.0,0,0,0
22,0,8.0,0,0,1
21,1,6.0,0,0,0
22,0,7.0,0,0,0
22,1,7.0,0,1,0
22,0,7.0,0,0,0
21,0,8.0,1,0,1
22,1,8.0,0,0,1
22,1,8.0,0,0,1
22,1,8.0,0,0,1
21,0,6.0,0,0,1
22,1,8.0,1,0,1
21,1,7.0,0,0,1
21,1,7.0,0,0,0
21,0,7.0,0,0,0
21,1,6.0,0,0,1
21,1,6.0,0,0,0
22,0,7.0,0,0,1
22,1,8.0,0,0,1
22,1,6.0,0,0,0
22,0,8.0,0,1,1
22,1,6.0,0,1,0
22,0,8.0,1,0,1
21,1,7.0,1,1,1
21,1,7.0,0,0,1
22,2,8.0,0,0,1
21,3,6.0,0,0,1
22,1,8.0,0,0,1
21,1,7.0,0,1,1
21,2,7.0,0,0,1
21,0,7.0,0,0,0
22,0,8.0,0,0,1
21,1,8.0,0,0,1
21,1,8.0,1,0,1
21,3,6.0,1,1,0
21,3,6.0,0,0,1
21,1,7.0,0,0,1
21,0,8.0,0,0,1
21,0,8.0,0,0,1
21,0,8.0,0,0,1
21,1,8.0,0,0,1
21,2,9.0,0,1,1
22,0,8.0,0,0,1
21,0,8.0,0,0,1
21,0,9.0,0,0,1
21,1,8.0,1,0,1
22,0,9.0,0,0,1
22,1,9.0,0,0,1
21,0,8.0,0,0,1
22,2,9.0,0,0,1
21,0,8.0,1,1,1
22,1,8.0,0,0,1
